                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     18,                0.86888,                0.80151,                0.77887,                 1.0701,                0.84961,                0.76254,                0.84414,                0.65421,                0.84385,                0.72906,                0.80228,                 0.3468,                0.83476,                0.69604,                0.74869,                 1.0293,               0.008317,               0.008317,               0.008317
                     19,                0.87295,                0.81767,                0.78957,                 1.0702,                0.87365,                 0.7665,                0.84636,                 0.6577,                0.85266,                0.74483,                0.80589,                0.36307,                 0.7986,                0.68474,                0.74332,                 1.0052,               0.008218,               0.008218,               0.008218
                     20,                0.85506,                0.81071,                0.78639,                 1.0795,                0.81785,                 0.7803,                0.83468,                0.65623,                0.79719,                0.76678,                0.79734,                0.35197,                0.80097,                0.70221,                0.74133,                 1.0088,               0.008119,               0.008119,               0.008119
                     21,                0.84693,                0.79478,                0.76014,                 1.0563,                 0.8447,                0.77701,                0.84862,                0.66647,                  0.813,                0.74581,                0.80331,                0.36553,                 0.8036,                0.71203,                0.73503,                  1.021,                0.00802,                0.00802,                0.00802
                     22,                0.83173,                0.77687,                0.72986,                 1.0566,                0.87948,                 0.7549,                0.85532,                0.66605,                0.85843,                0.73482,                0.80818,                0.36508,                0.78279,                0.69304,                0.69751,                   1.01,               0.007921,               0.007921,               0.007921
                     23,                 0.8204,                0.80151,                0.74317,                 1.0494,                0.88617,                0.75166,                0.85046,                0.66532,                0.86301,                0.73202,                0.80757,                0.36568,                0.77739,                0.67042,                0.70025,                 1.0086,               0.007822,               0.007822,               0.007822
                     24,                0.81043,                0.78725,                0.72357,                 1.0442,                0.84967,                0.79704,                0.86668,                0.67954,                0.84165,                 0.7734,                0.82909,                0.39622,                0.76518,                0.66543,                0.68926,                0.98991,               0.007723,               0.007723,               0.007723
                     25,                0.81635,                0.78085,                0.72522,                 1.0435,                0.90988,                0.72615,                0.85224,                 0.6691,                0.90203,                0.71664,                0.82153,                0.37342,                0.76558,                0.66294,                0.69975,                  1.007,               0.007624,               0.007624,               0.007624
                     26,                0.80392,                0.78137,                0.72829,                 1.0348,                0.86756,                0.75512,                0.85277,                0.67801,                0.85024,                0.73833,                0.81541,                 0.3699,                0.77243,                0.66922,                0.69974,                 1.0067,               0.007525,               0.007525,               0.007525
                     27,                0.80141,                0.77914,                0.72449,                 1.0447,                 0.8434,                0.77833,                 0.8479,                  0.669,                0.87133,                0.71389,                0.80251,                0.34986,                0.77522,                0.68596,                0.68953,                 1.0101,               0.007426,               0.007426,               0.007426
                     28,                0.78716,                0.76923,                0.70027,                 1.0351,                  0.862,                0.78772,                0.85797,                0.67714,                0.85499,                0.76847,                0.83198,                0.38227,                0.76444,                0.64733,                0.68131,                 1.0046,               0.007327,               0.007327,               0.007327
                     29,                0.78344,                0.75503,                0.69721,                 1.0328,                0.86837,                0.79212,                0.86462,                0.68328,                0.84988,                 0.7734,                0.83168,                0.37804,                0.73255,                0.65873,                0.67732,                0.97741,               0.007228,               0.007228,               0.007228
                     30,                0.76783,                  0.753,                0.67054,                 1.0264,                0.85615,                0.79507,                0.86462,                0.69724,                 0.8352,                 0.7803,                0.83752,                0.39074,                0.72581,                0.65427,                0.64688,                0.98314,               0.007129,               0.007129,               0.007129
                     31,                0.75923,                0.73053,                0.67456,                 1.0159,                0.89412,                0.77143,                0.86245,                0.70042,                0.87655,                0.75665,                0.83378,                0.39682,                0.71201,                0.63308,                0.65691,                0.97309,                0.00703,                0.00703,                0.00703
                     32,                0.75114,                0.72571,                0.65388,                 1.0196,                0.90195,                0.77939,                0.86773,                0.70479,                0.85899,                0.77931,                0.83711,                0.39794,                0.71847,                0.62424,                0.65271,                0.97157,               0.006931,               0.006931,               0.006931
                     33,                0.74073,                 0.7448,                0.66087,                 1.0061,                0.88466,                0.79113,                0.87078,                0.69642,                0.86378,                 0.7665,                0.84028,                0.38463,                0.73045,                0.63499,                0.63463,                0.99029,               0.006832,               0.006832,               0.006832
                     34,                0.74964,                0.74081,                0.65832,                 1.0185,                0.85531,                0.81281,                0.87108,                0.70683,                0.88136,                0.76059,                 0.8415,                 0.4021,                0.70579,                0.61211,                0.62758,                0.96613,               0.006733,               0.006733,               0.006733
                     35,                 0.7412,                0.74423,                0.65445,                 1.0128,                0.87519,                0.79606,                0.87341,                 0.7139,                0.86241,                0.76572,                0.82642,                0.38555,                0.69664,                0.63534,                0.62242,                0.96878,               0.006634,               0.006634,               0.006634
                     36,                0.73028,                0.73404,                0.64473,                  1.009,                0.89074,                0.78717,                0.86753,                0.70755,                0.86495,                0.76985,                0.83167,                0.37605,                0.70005,                   0.66,                0.62297,                0.96817,               0.006535,               0.006535,               0.006535
                     37,                0.74157,                0.71046,                0.65457,                 1.0134,                0.87825,                0.80309,                0.87225,                0.70149,                0.84701,                0.77452,                0.83396,                0.38854,                0.71002,                0.63005,                0.63551,                0.97372,               0.006436,               0.006436,               0.006436
                     38,                 0.7075,                0.69128,                0.64409,                 1.0047,                0.85968,                0.79803,                0.86784,                0.70494,                0.83951,                0.77931,                0.84225,                0.40093,                0.70619,                0.63955,                0.63798,                0.98091,               0.006337,               0.006337,               0.006337
                     39,                0.71047,                0.71871,                0.61215,                0.99853,                0.88534,                0.80636,                 0.8789,                0.71849,                0.87129,                 0.7734,                0.83807,                0.40033,                0.67778,                0.61323,                0.59526,                0.96156,               0.006238,               0.006238,               0.006238
                     40,                0.71149,                0.71987,                0.63227,                 1.0033,                0.88838,                0.78417,                0.87381,                0.71291,                 0.8793,                0.77438,                0.85445,                0.40671,                0.69552,                0.63027,                0.61407,                0.96994,               0.006139,               0.006139,               0.006139
                     41,                0.71045,                0.69122,                0.61361,                0.99412,                0.87545,                0.81023,                0.87315,                 0.7164,                0.85887,                0.79145,                0.84478,                0.39212,                0.68037,                0.65425,                0.58997,                0.95428,                0.00604,                0.00604,                0.00604
                     42,                0.70055,                0.69783,                0.61139,                0.99297,                0.90014,                0.80099,                0.88369,                0.71587,                0.87609,                0.78715,                0.85649,                0.41263,                0.68204,                0.60002,                0.58961,                0.95675,               0.005941,               0.005941,               0.005941
                     43,                0.69096,                0.69036,                0.59743,                0.98281,                0.87378,                0.80985,                 0.8784,                0.71907,                0.85264,                0.78916,                0.83889,                0.38955,                0.67752,                0.62852,                0.59371,                0.95186,               0.005842,               0.005842,               0.005842
                     44,                0.69168,                0.72137,                0.60008,                0.98801,                0.86901,                0.81182,                0.87458,                0.71887,                0.86237,                0.78128,                0.85045,                 0.4186,                0.67465,                0.61843,                0.60827,                0.94687,               0.005743,               0.005743,               0.005743
                     45,                0.68596,                0.71244,                0.59182,                0.99161,                0.88766,                0.80394,                0.87762,                 0.7198,                0.88434,                0.75468,                0.83362,                0.40024,                0.68453,                0.61157,                0.58412,                0.96048,               0.005644,               0.005644,               0.005644
                     46,                0.67544,                0.71294,                 0.5946,                0.98979,                0.88518,                0.80509,                0.87985,                 0.7269,                0.86718,                0.78227,                0.84005,                 0.3978,                0.65809,                0.62402,                0.58211,                0.93828,               0.005545,               0.005545,               0.005545
                     47,                0.67774,                0.70299,                0.57848,                0.98388,                0.89738,                0.78916,                0.87845,                0.73289,                  0.888,                0.77332,                0.84654,                0.41161,                0.64325,                0.62787,                0.57597,                0.94238,               0.005446,               0.005446,               0.005446
                     48,                0.66115,                0.69653,                0.57293,                 0.9716,                0.87976,                0.81576,                0.88815,                0.74794,                0.85745,                0.79507,                0.84871,                0.41251,                0.63344,                0.60472,                0.55135,                0.92204,               0.005347,               0.005347,               0.005347
                     49,                0.65864,                0.69476,                0.56685,                0.97157,                0.88787,                0.80352,                0.88238,                0.73353,                0.89124,                0.77143,                0.84354,                0.41292,                0.64405,                0.60438,                  0.577,                0.94019,               0.005248,               0.005248,               0.005248
                     50,                0.66391,                0.67317,                0.55748,                0.97414,                0.87415,                0.81434,                0.88501,                0.73884,                0.87861,                0.77438,                0.85179,                0.42031,                0.66481,                 0.5975,                 0.5792,                   0.95,               0.005149,               0.005149,               0.005149
                     51,                0.66042,                0.68362,                0.57283,                 0.9809,                0.87936,                 0.8197,                0.87284,                0.72607,                0.88309,                0.77833,                0.84509,                0.41286,                0.64868,                0.59536,                0.58747,                 0.9455,                0.00505,                0.00505,                0.00505
                     52,                0.64764,                0.67068,                0.55057,                0.96835,                0.87398,                0.82857,                  0.884,                0.74322,                0.89163,                 0.7931,                0.86309,                0.43325,                0.63808,                0.58856,                0.55016,                0.93353,               0.004951,               0.004951,               0.004951
                     53,                0.63563,                0.65965,                0.55126,                0.96619,                0.87137,                 0.8266,                0.88774,                0.73908,                0.85163,                0.80788,                 0.8601,                0.42765,                0.64782,                0.58566,                0.55366,                0.93622,               0.004852,               0.004852,               0.004852
                     54,                0.64076,                0.67736,                0.54848,                0.96417,                0.86325,                 0.8396,                0.88848,                0.73944,                0.83102,                0.81872,                0.85467,                0.43428,                0.64424,                0.59839,                0.54059,                0.94295,               0.004753,               0.004753,               0.004753
                     55,                0.63483,                0.66589,                0.54037,                0.96732,                 0.9099,                0.80887,                0.88146,                0.73607,                 0.8972,                0.79803,                0.86181,                0.44241,                0.64606,                 0.5683,                0.56322,                0.93761,               0.004654,               0.004654,               0.004654
                     56,                0.62129,                0.65193,                0.52993,                0.95603,                 0.8682,                0.82167,                 0.8773,                0.73125,                0.85456,                0.80467,                   0.85,                0.43052,                0.65035,                0.58541,                0.56717,                 0.9406,               0.004555,               0.004555,               0.004555
                     57,                0.62201,                0.66042,                0.52728,                0.95258,                0.86883,                0.82759,                 0.8794,                0.73804,                0.86517,                 0.8092,                0.85949,                0.43349,                0.64572,                0.57307,                 0.5434,                0.94603,               0.004456,               0.004456,               0.004456
                     58,                0.62364,                0.64787,                0.51409,                0.96031,                0.87158,                0.81281,                0.87429,                0.72228,                0.89762,                0.76879,                 0.8485,                 0.4199,                0.65174,                0.58447,                0.56885,                0.95391,               0.004357,               0.004357,               0.004357
                     59,                0.61869,                0.64632,                0.52397,                0.95825,                0.90908,                0.80778,                0.88506,                 0.7407,                0.90641,                0.78238,                0.86612,                0.43217,                0.63747,                0.56178,                0.52837,                0.93772,               0.004258,               0.004258,               0.004258
                     60,                0.61977,                0.64609,                0.51562,                0.95845,                0.89697,                0.81481,                0.88449,                0.73484,                0.87836,                0.79704,                0.85378,                0.42961,                0.64566,                0.58039,                0.54797,                 0.9476,               0.004159,               0.004159,               0.004159
                     61,                 0.5962,                 0.6433,                0.50582,                0.94681,                0.88138,                0.81993,                0.88112,                0.73674,                 0.8687,                0.80828,                0.86363,                0.43701,                 0.6398,                0.56167,                0.56408,                0.94328,                0.00406,                0.00406,                0.00406
                     62,                0.60616,                0.63944,                0.52047,                0.95068,                0.89734,                0.80954,                 0.8876,                0.74524,                0.85661,                0.81812,                0.86388,                0.43916,                0.63655,                0.59324,                0.54775,                0.94374,               0.003961,               0.003961,               0.003961
                     63,                0.59879,                0.62585,                0.50843,                0.94281,                 0.9035,                0.80591,                0.88877,                0.74599,                0.87964,                0.79206,                  0.852,                0.42032,                   0.64,                0.58113,                0.53935,                0.93642,               0.003862,               0.003862,               0.003862
                     64,                0.59077,                0.62931,                0.50459,                 0.9459,                0.89439,                0.82857,                0.88989,                0.75261,                0.87519,                0.79451,                0.85968,                0.44133,                0.62196,                0.56994,                0.52049,                0.93755,               0.003763,               0.003763,               0.003763
                     65,                 0.6017,                0.64245,                0.49624,                0.94987,                0.89658,                0.81991,                0.88478,                0.74519,                0.88529,                0.80296,                0.86695,                0.44516,                0.62155,                0.55609,                0.53444,                 0.9439,               0.003664,               0.003664,               0.003664
                     66,                0.57852,                0.63829,                0.49594,                0.93698,                0.91417,                0.80805,                0.88223,                0.73574,                0.90423,                0.79997,                0.85994,                0.43766,                 0.6271,                0.58644,                 0.5411,                0.94644,               0.003565,               0.003565,               0.003565
                     67,                0.58079,                0.62576,                0.48001,                0.94172,                0.90077,                0.80591,                0.88884,                0.75326,                0.88233,                0.79043,                0.86359,                0.43633,                0.60958,                0.57252,                0.51715,                0.92527,               0.003466,               0.003466,               0.003466
                     68,                0.56982,                0.61504,                0.46981,                0.92939,                0.88827,                0.82069,                0.88708,                 0.7477,                0.88432,                0.81182,                0.86325,                0.43601,                0.61397,                0.55583,                0.52956,                0.93398,               0.003367,               0.003367,               0.003367
                     69,                0.56302,                0.60982,                0.47781,                0.93186,                0.87853,                0.83645,                0.89187,                0.74985,                0.86593,                0.81576,                0.86455,                0.44827,                0.61428,                0.55626,                0.50717,                0.92708,               0.003268,               0.003268,               0.003268
                     70,                0.56151,                 0.6117,                0.47298,                0.93223,                0.89244,                0.83383,                0.88418,                0.74677,                0.87711,                0.80869,                0.85859,                0.43873,                0.61508,                0.56083,                 0.5216,                0.93257,               0.003169,               0.003169,               0.003169
                     71,                0.56538,                0.62572,                0.47352,                0.93612,                0.89731,                0.83511,                0.89484,                0.75961,                0.87705,                0.81528,                  0.872,                0.45415,                0.59865,                0.55553,                 0.5109,                0.92233,                0.00307,                0.00307,                0.00307
                     72,                0.55718,                0.60071,                0.46085,                0.93038,                0.89009,                0.83547,                0.89083,                0.75438,                0.86918,                0.81825,                0.87015,                0.45011,                0.61718,                 0.5457,                0.51738,                0.92722,               0.002971,               0.002971,               0.002971
                     73,                0.55931,                0.62703,                0.46306,                0.93082,                0.90098,                0.82562,                0.88884,                0.74987,                 0.8794,                0.81896,                0.86813,                0.44523,                0.62757,                0.57341,                0.50779,                 0.9445,               0.002872,               0.002872,               0.002872
                     74,                0.55344,                0.61782,                0.45098,                0.92771,                0.89515,                0.84115,                0.89452,                0.76183,                0.88902,                0.82865,                0.87927,                0.46257,                0.59393,                0.55042,                0.50731,                0.91967,               0.002773,               0.002773,               0.002773
                     75,                0.55234,                0.60537,                0.46198,                0.93445,                0.88259,                0.83691,                0.89074,                0.75364,                0.90094,                0.79751,                0.86889,                0.44103,                 0.5962,                0.56188,                0.50083,                0.92821,               0.002674,               0.002674,               0.002674
                     76,                0.54591,                0.58861,                0.44874,                 0.9251,                0.87217,                0.83354,                0.88782,                 0.7481,                0.86565,                0.82526,                0.86675,                0.44799,                0.60615,                0.54411,                0.51713,                 0.9252,               0.002575,               0.002575,               0.002575
                     77,                 0.5435,                0.60168,                 0.4467,                0.92254,                0.89748,                0.82463,                0.89445,                0.76201,                 0.8889,                0.81675,                0.87599,                0.45936,                0.59544,                0.53303,                0.49438,                0.92202,               0.002476,               0.002476,               0.002476
                     78,                0.52123,                0.59358,                0.43647,                 0.9168,                0.88938,                0.83175,                0.89719,                0.76772,                0.91373,                0.79606,                 0.8799,                0.45928,                0.58575,                0.53921,                0.49575,                0.92234,               0.002377,               0.002377,               0.002377
                     79,                0.53059,                0.59415,                0.44662,                0.91751,                0.90275,                0.82857,                0.89273,                0.76596,                0.89383,                0.81286,                0.87731,                0.45881,                0.58448,                0.53428,                0.49627,                0.92025,               0.002278,               0.002278,               0.002278
                     80,                0.52808,                0.59875,                0.44843,                0.91973,                0.90399,                 0.8266,                0.89141,                 0.7549,                0.89955,                0.81773,                0.87288,                0.45103,                0.59294,                0.56589,                0.50357,                0.92937,               0.002179,               0.002179,               0.002179
                     81,                0.53075,                0.59822,                0.43466,                0.92143,                0.88359,                0.85251,                0.89853,                0.76583,                0.88732,                0.81872,                0.87371,                0.46321,                0.58442,                0.54546,                0.49551,                0.91733,                0.00208,                0.00208,                0.00208
                     82,                0.50857,                0.60011,                 0.4173,                0.90962,                0.88781,                0.83645,                0.89562,                0.76551,                0.90187,                0.80588,                0.88167,                0.46484,                0.58131,                0.53914,                0.49426,                 0.9196,               0.001981,               0.001981,               0.001981
                     83,                0.51857,                0.60792,                 0.4095,                0.91852,                0.91141,                0.82103,                0.88906,                0.76258,                0.89998,                0.80887,                0.87423,                0.46722,                0.57969,                 0.5419,                0.49041,                0.92586,               0.001882,               0.001882,               0.001882
                     84,                0.51581,                 0.5914,                0.42053,                0.91679,                0.89454,                0.84039,                0.89478,                0.76655,                   0.89,                0.82857,                0.88331,                0.47192,                0.57724,                0.53852,                0.48473,                0.92146,               0.001783,               0.001783,               0.001783
                     85,                0.51955,                0.57907,                 0.4204,                0.91597,                0.89596,                0.82857,                0.88906,                0.76042,                0.88618,                0.82078,                0.87734,                0.46354,                0.58168,                0.55031,                0.50378,                0.92822,               0.001684,               0.001684,               0.001684
                     86,                0.50953,                0.59598,                0.40586,                0.90973,                0.89878,                0.82069,                0.88819,                0.76458,                0.88219,                0.80099,                0.86355,                0.45581,                0.58741,                0.54925,                0.50572,                0.92679,               0.001585,               0.001585,               0.001585
                     87,                0.51793,                  0.597,                 0.4139,                0.91631,                0.90404,                0.83538,                0.89669,                   0.77,                0.89125,                0.82356,                0.87848,                0.46269,                0.57329,                0.54006,                0.49005,                0.92093,               0.001486,               0.001486,               0.001486
                     88,                0.50011,                0.57331,                0.40453,                0.91096,                0.90606,                0.83622,                0.89932,                 0.7706,                0.89384,                0.82951,                0.88514,                0.46653,                0.56408,                 0.5448,                0.47944,                0.90989,               0.001387,               0.001387,               0.001387
                     89,                0.49871,                0.57936,                0.40835,                 0.9063,                0.88791,                0.84138,                0.89476,                0.76683,                 0.8842,                 0.8266,                0.88174,                0.46687,                0.57432,                0.54227,                0.48625,                0.92825,               0.001288,               0.001288,               0.001288
                     90,                0.44573,                 0.4939,                0.35036,                 0.8726,                0.89353,                0.83941,                0.89395,                0.76442,                0.87638,                0.82759,                0.87222,                0.46407,                0.57839,                0.54834,                0.48666,                0.93105,               0.001189,               0.001189,               0.001189
                     91,                0.44693,                0.49762,                0.34998,                0.87504,                0.90614,                0.82753,                0.89426,                0.76364,                0.89825,                0.81758,                0.88011,                0.46488,                0.58225,                 0.5467,                0.48011,                0.92935,                0.00109,                0.00109,                0.00109
                     92,                0.44187,                 0.5028,                0.34023,                0.87049,                0.92573,                0.82275,                0.90161,                0.77176,                0.91338,                0.80197,                0.87198,                0.46429,                0.57849,                0.54431,                 0.4717,                0.92173,               0.000991,               0.000991,               0.000991
                     93,                0.42474,                0.48533,                0.33496,                0.86371,                0.90593,                0.84039,                0.90241,                0.77272,                0.90044,                 0.8198,                0.87985,                0.46597,                0.57734,                 0.5497,                0.46544,                0.92426,               0.000892,               0.000892,               0.000892
                     94,                0.42597,                0.49993,                0.32238,                 0.8634,                0.91519,                0.83153,                0.90121,                0.77329,                0.90843,                0.81773,                0.88236,                0.47578,                0.56918,                0.54016,                 0.4724,                0.91482,               0.000793,               0.000793,               0.000793
                     95,                0.42779,                0.49073,                0.32995,                0.86595,                 0.9153,                 0.8335,                0.90086,                0.77069,                0.89699,                0.81675,                0.87612,                0.46769,                 0.5722,                0.54694,                0.46537,                0.92023,               0.000694,               0.000694,               0.000694
                     96,                0.41358,                0.48742,                0.31901,                 0.8538,                0.88981,                0.85126,                0.89954,                0.77738,                0.89775,                0.81309,                0.87764,                0.47039,                0.56569,                 0.5448,                0.45635,                 0.9201,               0.000595,               0.000595,               0.000595
                     97,                  0.411,                0.48771,                0.31354,                0.85128,                0.91267,                0.83251,                 0.9005,                0.77919,                0.90467,                0.81872,                0.88045,                0.47494,                0.56001,                0.53809,                0.46016,                0.91486,               0.000496,               0.000496,               0.000496
                     98,                0.39914,                0.47829,                0.31351,                0.85298,                0.90349,                0.83547,                0.89894,                0.77302,                0.90159,                0.82139,                 0.8783,                0.46766,                0.56486,                0.54258,                0.46632,                0.91616,               0.000397,               0.000397,               0.000397
                     99,                0.40249,                0.47976,                0.30856,                0.85639,                0.91933,                0.83153,                0.90153,                0.77671,                0.90296,                0.81587,                0.88016,                0.47791,                0.56605,                0.53461,                0.45748,                0.91959,               0.000298,               0.000298,               0.000298
