                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     10,                 1.0542,                 0.7343,                 1.0288,                 1.1892,                0.24081,                0.17241,                0.10578,                0.05704,                0.18068,                0.12808,                0.06009,                0.01249,                 1.7716,                 1.3897,                 3.3657,                 1.7512,               0.008515,               0.008515,               0.008515
                     11,                 1.0092,                0.69912,                0.99113,                 1.1546,                0.14608,                0.18287,                0.07645,                0.03658,                0.12785,                0.15764,                0.04149,                0.01061,                 2.0319,                 1.4551,                 3.7036,                 1.9272,                0.00835,                0.00835,                0.00835
                     12,                 1.0187,                0.73649,                0.98651,                  1.174,                0.22993,                0.20197,                0.10737,                0.05451,                 0.1954,                0.15764,                0.05127,                 0.0136,                 1.8567,                 1.3576,                 3.3032,                 1.8113,               0.008185,               0.008185,               0.008185
                     13,                 1.0066,                0.71062,                0.96038,                 1.1549,                0.17672,                0.16919,                0.08178,                0.03808,                0.09903,                  0.133,                0.02465,                0.00514,                  2.129,                 1.5288,                 3.5381,                 1.9987,                0.00802,                0.00802,                0.00802
                     14,                0.98727,                0.68052,                0.94506,                 1.1546,                0.20582,                0.17734,                 0.0809,                0.03215,                 0.1409,                 0.0936,                0.03274,                0.00678,                 2.2777,                 1.6054,                 3.3526,                 2.1498,               0.007855,               0.007855,               0.007855
                     15,                 0.9614,                0.66574,                0.88807,                 1.1354,                0.24794,                0.25616,                0.11931,                0.05807,                0.17165,                0.17734,                0.06178,                 0.0139,                 2.2121,                 1.5302,                  3.273,                 2.1516,                0.00769,                0.00769,                0.00769
                     16,                0.96001,                0.69364,                0.89464,                 1.1415,                0.21578,                0.26108,                0.11069,                0.04958,                0.15064,                0.18227,                0.05147,                0.01185,                 2.0196,                 1.3507,                 3.1017,                 1.9491,               0.007525,               0.007525,               0.007525
                     17,                0.92096,                 0.6333,                0.88964,                 1.1187,                0.24113,                0.17375,                0.11998,                0.06396,                0.18055,                0.10837,                 0.0436,                0.01078,                 1.9267,                 1.4177,                 3.1183,                 1.8342,                0.00736,                0.00736,                0.00736
                     18,                0.95081,                0.66847,                0.89866,                 1.1349,                 0.1592,                0.28079,                0.10142,                 0.0414,                0.10548,                0.16749,                0.04762,                0.01027,                 2.0293,                 1.3264,                 2.9781,                 1.9008,               0.007195,               0.007195,               0.007195
                     19,                  0.913,                0.65428,                 0.8709,                 1.1149,                0.16713,                0.16749,                0.08108,                0.04165,                0.08226,                0.12808,                0.03506,                0.01182,                 2.0091,                   1.44,                 3.7244,                 1.9496,                0.00703,                0.00703,                0.00703
                     20,                0.90951,                0.65461,                0.85589,                 1.1108,                0.13184,                0.19212,                0.07789,                0.03138,                0.08507,                0.10345,                0.03269,                0.00733,                 2.2722,                 1.5176,                 3.0905,                   2.05,               0.006865,               0.006865,               0.006865
                     21,                0.89673,                0.62531,                0.83378,                 1.1148,                0.17785,                0.15764,                0.06698,                0.03486,                0.11872,                0.13206,                0.03899,                0.00907,                 1.9968,                 1.5057,                 3.5991,                 1.9363,                 0.0067,                 0.0067,                 0.0067
                     22,                0.91893,                0.70449,                0.85904,                  1.121,                0.12806,                0.16568,                 0.0556,                0.02796,                0.09323,                0.10837,                0.02787,                0.00749,                 2.1476,                 1.5691,                 3.8256,                  2.103,               0.006535,               0.006535,               0.006535
                     23,                0.89155,                0.65448,                0.83844,                 1.1161,                0.11109,                0.18719,                0.06571,                0.02744,                0.13242,                0.07882,                0.02808,                0.00659,                 2.0906,                 1.4846,                 3.3635,                 1.9657,                0.00637,                0.00637,                0.00637
                     24,                 0.8931,                0.63876,                0.83109,                 1.1149,                0.18999,                0.16256,                0.10844,                0.04842,                0.13316,                0.10345,                0.04536,                0.01324,                 2.0854,                 1.4357,                 3.2708,                 1.9698,               0.006205,               0.006205,               0.006205
                     25,                0.86888,                0.64702,                0.77796,                 1.0889,                0.18681,                0.17734,                0.09964,                0.04909,                0.15798,                0.14286,                0.05289,                0.01489,                 2.0052,                 1.3136,                 3.4191,                 1.9287,                0.00604,                0.00604,                0.00604
                     26,                0.83657,                0.61914,                0.77008,                 1.0721,                0.21178,                0.21182,                0.10648,                0.05192,                0.13016,                0.16256,                0.05225,                0.01302,                 1.9947,                 1.3294,                  3.424,                 1.9815,               0.005875,               0.005875,               0.005875
                     27,                0.81081,                0.63623,                0.73933,                  1.083,                0.22214,                0.19704,                 0.1069,                 0.0556,                0.13818,                0.18227,                0.05205,                0.01725,                 1.9081,                 1.3032,                 3.1784,                 1.8359,                0.00571,                0.00571,                0.00571
                     28,                0.85216,                0.65889,                0.79632,                  1.099,                0.16737,                0.27586,                0.12405,                0.06533,                0.14142,                0.22152,                0.07538,                0.01816,                 1.8704,                 1.3351,                 3.1158,                 1.8135,               0.005545,               0.005545,               0.005545
                     29,                0.81494,                0.59965,                  0.766,                 1.0831,                0.26275,                0.27094,                0.16175,                0.08193,                0.27938,                0.17571,                 0.0984,                0.02584,                 1.8439,                  1.265,                 2.7506,                 1.7729,                0.00538,                0.00538,                0.00538
                     30,                0.81216,                0.62385,                0.76617,                 1.0626,                0.21463,                0.24138,                0.12796,                0.06159,                0.15079,                0.17241,                0.05972,                0.02007,                 1.7803,                 1.2336,                  2.761,                 1.7276,               0.005215,               0.005215,               0.005215
                     31,                0.82311,                0.62846,                0.73172,                 1.0743,                0.23451,                0.24631,                0.14225,                0.07162,                 0.2049,                0.16749,                0.07083,                0.02024,                 1.8732,                 1.2204,                 2.9023,                 1.8417,                0.00505,                0.00505,                0.00505
                     32,                 0.8566,                0.66552,                0.75568,                 1.0795,                0.18772,                0.30542,                0.13876,                0.07018,                0.19373,                0.16256,                0.08212,                0.02141,                 1.8182,                 1.2514,                 3.0442,                 1.7683,               0.004885,               0.004885,               0.004885
                     33,                0.77297,                0.61471,                0.72962,                 1.0462,                0.15809,                 0.3202,                0.11975,                 0.0595,                0.23086,                0.12315,                0.06988,                0.01741,                 1.8911,                 1.2503,                 3.1877,                 1.8409,                0.00472,                0.00472,                0.00472
                     34,                 0.7674,                0.56774,                 0.7046,                 1.0517,                0.15741,                0.19212,                0.08532,                 0.0466,                0.19932,                0.09852,                0.04857,                0.01286,                 2.0719,                 1.4522,                 3.3883,                 2.0225,               0.004555,               0.004555,               0.004555
                     35,                0.75206,                0.59419,                0.70084,                 1.0479,                0.16411,                0.25123,                0.10881,                0.06434,                0.13193,                0.20197,                0.06649,                0.01676,                 1.8711,                 1.3907,                 3.1701,                 1.7999,                0.00439,                0.00439,                0.00439
                     36,                 0.7585,                0.58634,                0.68467,                 1.0383,                0.15908,                0.30049,                0.12533,                0.06654,                0.15029,                0.14778,                0.06467,                0.01864,                 1.9557,                  1.389,                 3.0463,                 1.9234,               0.004225,               0.004225,               0.004225
                     37,                0.75856,                0.58282,                0.67484,                 1.0349,                0.21866,                0.27586,                0.14063,                0.07795,                0.15263,                0.18227,                0.08276,                0.02505,                 2.0068,                 1.3704,                 2.9722,                  2.028,                0.00406,                0.00406,                0.00406
                     38,                0.74285,                0.59914,                 0.6485,                 1.0401,                0.24408,                0.24631,                0.14282,                0.07255,                0.18014,                0.18719,                0.07954,                0.01991,                  2.078,                 1.3217,                 2.8878,                 2.0261,               0.003895,               0.003895,               0.003895
                     39,                 0.7401,                0.60621,                0.67864,                 1.0371,                0.28957,                0.15764,                0.10522,                0.04606,                0.16284,                0.12315,                0.05983,                 0.0167,                 2.2191,                 1.3274,                 3.3122,                  2.183,                0.00373,                0.00373,                0.00373
                     40,                0.72472,                0.58602,                0.63971,                 1.0366,                0.25038,                0.16749,                0.10512,                0.05229,                0.21356,                0.14286,                0.06733,                0.01646,                 1.9746,                 1.2688,                 3.2171,                 1.9092,               0.003565,               0.003565,               0.003565
                     41,                0.70726,                 0.5604,                0.61339,                 1.0111,                0.28224,                0.16749,                0.11887,                 0.0543,                0.22337,                  0.133,                0.06777,                0.01384,                 1.9444,                 1.2711,                 3.1584,                 1.8813,                 0.0034,                 0.0034,                 0.0034
                     42,                0.71834,                0.56557,                0.61547,                 1.0273,                 0.1959,                0.28571,                0.13274,                0.07216,                0.15144,                0.21675,                0.07576,                0.01846,                 1.9024,                 1.2724,                 2.9323,                 1.8439,               0.003235,               0.003235,               0.003235
                     43,                0.68631,                0.56722,                0.60292,                 1.0175,                0.28023,                0.24138,                0.18105,                0.09142,                0.19371,                0.16806,                0.08548,                0.02466,                 1.8132,                 1.2458,                 2.7622,                 1.7801,                0.00307,                0.00307,                0.00307
                     44,                0.72622,                0.58317,                0.61828,                 1.0373,                0.16192,                0.30049,                0.12987,                0.07065,                0.20465,                0.16256,                0.07399,                0.01979,                 1.8387,                 1.2023,                 3.2226,                 1.7939,               0.002905,               0.002905,               0.002905
                     45,                0.67503,                0.56037,                0.58335,                 1.0178,                0.25292,                0.21675,                0.13289,                0.07488,                0.23524,                0.18719,                0.08601,                0.02332,                 1.7864,                 1.2606,                 3.1844,                 1.7948,                0.00274,                0.00274,                0.00274
                     46,                0.70066,                0.57715,                0.58732,                 1.0235,                0.18483,                0.27586,                0.12041,                0.06021,                0.16314,                0.15764,                 0.0589,                0.01684,                 1.9239,                 1.3048,                 3.2963,                 1.9002,               0.002575,               0.002575,               0.002575
                     47,                0.66924,                 0.5585,                 0.5625,                0.99832,                0.16208,                0.20197,                0.08775,                 0.0472,                0.12255,                0.15271,                0.05334,                0.01758,                 2.0299,                 1.2885,                 3.6144,                 1.9722,                0.00241,                0.00241,                0.00241
                     48,                0.66587,                0.55533,                0.57169,                0.99511,                 0.2425,                0.22167,                0.12743,                0.06842,                0.18537,                0.18227,                0.08046,                0.02064,                 1.8283,                 1.2517,                 3.1103,                 1.8223,               0.002245,               0.002245,               0.002245
                     49,                0.65648,                 0.5681,                0.58255,                0.98897,                0.27081,                0.18719,                0.12296,                0.06244,                0.19137,                0.12808,                 0.0618,                0.01672,                 1.9806,                 1.3164,                 3.3188,                 1.9121,                0.00208,                0.00208,                0.00208
                     50,                0.68483,                0.46062,                0.62836,                 1.0096,                0.20691,                0.27094,                0.13339,                0.06675,                0.13591,                0.17734,                0.07226,                0.01765,                  1.907,                 1.4406,                 3.1507,                 1.8872,               0.001915,               0.001915,               0.001915
                     51,                0.65226,                0.47206,                0.57908,                0.99693,                0.22033,                 0.2069,                0.11511,                0.06116,                0.14689,                0.13793,                0.06669,                0.02002,                 1.9292,                 1.4373,                  3.388,                 1.9445,                0.00175,                0.00175,                0.00175
                     52,                0.62855,                0.44729,                 0.5277,                0.98341,                0.20868,                0.17241,                0.10893,                0.05531,                0.19396,                0.10345,                0.05378,                0.01703,                 2.1797,                 1.4607,                 3.5466,                 2.1838,               0.001585,               0.001585,               0.001585
                     53,                0.62124,                0.46236,                0.56745,                0.98151,                0.29124,                0.21675,                0.14239,                0.07647,                0.24589,                0.15764,                0.08438,                0.02494,                 1.9219,                 1.3311,                 3.2607,                 1.9916,                0.00142,                0.00142,                0.00142
                     54,                0.63361,                0.44884,                0.55349,                0.99542,                0.24053,                0.26601,                0.14713,                0.07899,                0.19152,                0.19704,                 0.0862,                0.02511,                 1.8981,                 1.3167,                 3.1789,                  1.947,               0.001255,               0.001255,               0.001255
                     55,                0.60129,                0.44099,                0.51401,                0.96933,                0.24844,                0.26601,                0.13947,                0.07537,                0.15687,                0.23153,                0.08433,                0.02477,                 1.8243,                 1.2823,                 3.1529,                 1.9029,                0.00109,                0.00109,                0.00109
                     56,                0.59954,                0.43115,                0.49364,                0.98828,                0.27832,                 0.2266,                0.14454,                0.07191,                 0.2107,                0.16749,                0.08337,                0.02325,                 2.0195,                 1.3409,                 3.0908,                 2.0895,               0.000925,               0.000925,               0.000925
                     57,                0.58111,                0.43887,                0.50471,                0.97781,                0.27637,                0.25123,                0.14013,                0.06966,                0.20499,                0.18719,                 0.0838,                0.02326,                 2.0537,                 1.3359,                 3.0004,                 2.1098,                0.00076,                0.00076,                0.00076
                     58,                0.58787,                0.45801,                0.49009,                0.96819,                0.27654,                 0.2266,                0.13795,                0.06884,                0.20659,                0.17734,                 0.0784,                0.02199,                 2.0456,                 1.3026,                 3.0912,                 2.0623,               0.000595,               0.000595,               0.000595
                     59,                0.57194,                 0.4484,                0.47258,                0.96073,                0.22424,                0.28079,                0.13553,                0.06715,                0.16926,                0.20197,                0.07267,                0.02159,                 1.9945,                 1.3027,                 3.2404,                 2.0123,                0.00043,                0.00043,                0.00043
